Plant_Nb;Cane_nb;Req;Intermediate;Type;X;Y;Z;Inter;Row;L_Internode;L_Cumulated;Xabs;Yabs;Zabs
2;1;;;0;-42.04;2.02;-59.73;73.06924729;0;0;0;-42.04;2.02;59.73
2;1;;;0;-42.09;2.36;-59.8;0.350713558;1;0.350713558;0.350713558;-42.09;2.36;59.8
2;1;;;0;-42.68;3.44;-60.28;1.32094663;2;1.32094663;1.671660189;-42.68;3.44;60.28
2;1;;;0;-47.46;7.71;-65.68;8.381008293;3;8.381008293;10.05266848;-47.46;7.71;65.68
2;1;G;0;0;-55.71;14.81;-72.52;12.85527518;4;12.85527518;22.90794366;-55.71;14.81;72.52
2;1;;;0;-44.63;-3.35;-61.59;23.9168748;0;0;0;-44.63;-3.35;61.59
2;1;;;0;-45.21;-3.05;-61.21;0.755513071;1;0.755513071;0.755513071;-45.21;-3.05;61.21
2;1;;;0;-46.39;-3.15;-62.13;1.499599947;2;1.499599947;2.255113017;-46.39;-3.15;62.13
2;1;;;0;-48.67;-2.95;-64.05;2.987440376;3;2.987440376;5.242553393;-48.67;-2.95;64.05
2;1;;;0;-52.49;-3.3;-67.95;5.470365618;4;5.470365618;10.71291901;-52.49;-3.3;67.95
2;1;;;0;-56.55;-2.96;-75.28;8.386185068;5;8.386185068;19.09910408;-56.55;-2.96;75.28
2;1;;;0;-61.65;-3.42;-86.43;12.2696414;6;12.2696414;31.36874548;-61.65;-3.42;86.43
2;1;;;0;-63.95;-3.93;-96.53;10.37111855;7;10.37111855;41.73986403;-63.95;-3.93;96.53
2;1;;;0;-67.45;-4.88;-113.25;17.10879598;8;17.10879598;58.84866001;-67.45;-4.88;113.25
2;1;;;0;-68.06;-5.54;-127.22;13.99887853;9;13.99887853;72.84753854;-68.06;-5.54;127.22
2;1;G;0;0;-71.69;-4.91;-139.29;12.61977417;10;12.61977417;85.4673127;-71.69;-4.91;139.29
2;2;;;2;-79.88;-0.27;-155.81;19.01357673;0;0;0;-79.88;-0.27;155.81
2;2;;;2;-88.11;2.65;-167.72;14.76845964;1;14.76845964;14.76845964;-88.11;2.65;167.72
2;2;;;2;-95.38;9.09;-176.2;12.89328895;2;12.89328895;27.66174859;-95.38;9.09;176.2
2;2;2;2;2;-108.04;12.31;-184.96;15.72836927;3;15.72836927;43.39011786;-108.04;12.31;184.96
2;3;;;1;-42.49;-2.23;-60.44;141.4688817;0;0;0;-42.49;-2.23;60.44
2;3;;;1;-42.14;-2.53;-60.72;0.539351462;1;0.539351462;0.539351462;-42.14;-2.53;60.72
2;3;;;1;-41.86;-3.32;-62.19;1.692158385;2;1.692158385;2.231509847;-41.86;-3.32;62.19
2;3;;;1;-42.95;-4.34;-66.94;4.979056135;3;4.979056135;7.210565983;-42.95;-4.34;66.94
2;3;;;1;-43.48;-5.53;-76.04;9.192768897;4;9.192768897;16.40333488;-43.48;-5.53;76.04
2;3;;;1;-45.8;-4.26;-86.78;11.06087248;5;11.06087248;27.46420736;-45.8;-4.26;86.78
2;3;;;1;-47.53;-4.4;-96.59;9.962359158;6;9.962359158;37.42656652;-47.53;-4.4;96.59
2;3;;;1;-49.38;-3.37;-107.53;11.14302472;7;11.14302472;48.56959124;-49.38;-3.37;107.53
2;3;;;1;-50.75;-5.39;-117.82;10.57550944;8;10.57550944;59.14510069;-50.75;-5.39;117.82
2;3;;;1;-56.59;-4.44;-130.79;14.25584091;9;14.25584091;73.40094159;-56.59;-4.44;130.79
2;3;;;1;-59.02;-6.04;-140.95;10.56837263;10;10.56837263;83.96931422;-59.02;-6.04;140.95
2;3;;;1;-60.07;-6.18;-152.01;11.11061204;11;11.11061204;95.07992627;-60.07;-6.18;152.01
2;3;;;1;-55.37;-7.85;-161.32;10.56196005;12;10.56196005;105.6418863;-55.37;-7.85;161.32
2;3;;;1;-50.84;-7.42;-167.02;7.293545091;13;7.293545091;112.9354314;-50.84;-7.42;167.02
2;3;;;1;-45.24;-8.06;-169.65;6.219847265;14;6.219847265;119.1552787;-45.24;-8.06;169.65
2;3;;;1;-39.34;-6.71;-171.08;6.219115693;15;6.219115693;125.3743944;-39.34;-6.71;171.08
2;3;;;1;-33.36;-6.13;-171.72;6.042052631;16;6.042052631;131.416447;-33.36;-6.13;171.72
2;3;;;1;-28.65;-3.76;-171.23;5.295384783;17;5.295384783;136.7118318;-28.65;-3.76;171.23
2;3;;;1;-22.23;-2.42;-171.34;6.559275875;18;6.559275875;143.2711076;-22.23;-2.42;171.34
2;3;;;1;-17.08;-0.27;-171.38;5.580913904;19;5.580913904;148.8520216;-17.08;-0.27;171.38
2;3;1;1;1;-9.97;0.18;-174.45;7.757544715;20;7.757544715;156.6095663;-9.97;0.18;174.45
2;4;;;2;-22.86;6;-58.52;116.7895089;0;0;0;-22.86;6;58.52
2;4;;;2;-22.97;5.63;-58.65;0.407308237;1;0.407308237;0.407308237;-22.97;5.63;58.65
2;4;;;2;-23.45;4.99;-59.84;1.433910736;2;1.433910736;1.841218974;-23.45;4.99;59.84
2;4;;;2;-24.52;4.21;-62.84;3.279222469;3;3.279222469;5.120441442;-24.52;4.21;62.84
2;4;;;2;-26.3;3.47;-67.03;4.612168687;4;4.612168687;9.73261013;-26.3;3.47;67.03
2;4;;;2;-28.33;1.65;-75.56;8.95512144;5;8.95512144;18.68773157;-28.33;1.65;75.56
2;4;;;2;-34.24;0.29;-85.23;11.41431557;6;11.41431557;30.10204714;-34.24;0.29;85.23
2;4;;;2;-38.83;-1.92;-94.4;10.49004766;7;10.49004766;40.59209481;-38.83;-1.92;94.4
2;4;;;2;-45.67;-2.1;-104.18;11.93592895;8;11.93592895;52.52802376;-45.67;-2.1;104.18
2;4;;;2;-52.23;-4.56;-115.17;13.03323828;9;13.03323828;65.56126204;-52.23;-4.56;115.17
2;4;;;2;-60.12;-4.62;-125.29;12.83238481;10;12.83238481;78.39364685;-60.12;-4.62;125.29
2;4;;;2;-70.71;-8.63;-137.23;16.45575279;11;16.45575279;94.84939965;-70.71;-8.63;137.23
2;4;;;2;-78.11;-8.49;-144.93;10.68033707;12;10.68033707;105.5297367;-78.11;-8.49;144.93
2;4;;;2;-85.88;-10.38;-151.67;10.45813559;13;10.45813559;115.9878723;-85.88;-10.38;151.67
2;4;;;2;-95.46;-11.66;-161.55;13.82133134;14;13.82133134;129.8092036;-95.46;-11.66;161.55
2;4;;;2;-102.86;-15.34;-167.35;10.09665291;15;10.09665291;139.9058566;-102.86;-15.34;167.35
2;4;;;2;-108.26;-15.64;-172.65;7.572318007;16;7.572318007;147.4781746;-108.26;-15.64;172.65
2;4;;;2;-108.41;-15.46;-172.58;0.244540385;17;0.244540385;147.722715;-108.41;-15.46;172.58
2;4;;;2;-116.98;-19.65;-177.28;10.63442523;18;10.63442523;158.3571402;-116.98;-19.65;177.28
2;4;2;2;2;-120.86;-21.29;-182.92;7.039431795;19;7.039431795;165.396572;-120.86;-21.29;182.92
2;5;;;0;-22.12;6.52;-53.63;165.0420789;0;0;0;-22.12;6.52;53.63
2;5;;;0;-22.45;7.54;-53.69;1.07373181;1;1.07373181;1.07373181;-22.45;7.54;53.69
2;5;;;0;-23.82;11.47;-56.24;4.881014239;2;4.881014239;5.954746049;-23.82;11.47;56.24
2;5;G;0;0;-23.09;15.24;-60.35;5.624757773;3;5.624757773;11.57950382;-23.09;15.24;60.35
2;6;;;0;-9.2;4.55;-50.88;19.9220757;0;0;0;-9.2;4.55;50.88
2;6;;;0;-8.91;5.22;-50.87;0.730136973;1;0.730136973;0.730136973;-8.91;5.22;50.87
2;6;;;0;-8.84;5.93;-52.48;1.760994037;2;1.760994037;2.491131011;-8.84;5.93;52.48
2;6;;;0;-8.52;6.84;-56.34;3.97870582;3;3.97870582;6.469836831;-8.52;6.84;56.34
2;6;;;0;-8.38;6.49;-60.34;4.017723236;4;4.017723236;10.48756007;-8.38;6.49;60.34
2;6;;;0;-7.8;6.61;-65.13;4.826479048;5;4.826479048;15.31403911;-7.8;6.61;65.13
2;6;;;0;-6.07;3.64;-72.27;7.924228669;6;7.924228669;23.23826778;-6.07;3.64;72.27
2;6;;;0;-3.23;1.75;-82.57;10.85023963;7;10.85023963;34.08850741;-3.23;1.75;82.57
2;6;;;0;-0.85;-2.28;-91.64;10.20638036;8;10.20638036;44.29488777;-0.85;-2.28;91.64
2;6;;;0;1.42;-2.36;-100.64;9.282203402;9;9.282203402;53.57709117;1.42;-2.36;100.64
2;6;;;0;3.53;-2.66;-111.08;10.65531323;10;10.65531323;64.2324044;3.53;-2.66;111.08
2;6;;;0;6.27;-4.03;-119.36;8.828527624;11;8.828527624;73.06093202;6.27;-4.03;119.36
2;6;;;0;6.33;-6.8;-127.65;8.740743675;12;8.740743675;81.8016757;6.33;-6.8;127.65
2;6;;;0;4.41;-11.68;-139.71;13.15083267;13;13.15083267;94.95250837;4.41;-11.68;139.71
2;6;;;0;0.24;-16.41;-145.32;8.440017772;14;8.440017772;103.3925261;0.24;-16.41;145.32
2;6;;;0;-3.68;-18.63;-151.32;7.502986072;15;7.502986072;110.8955122;-3.68;-18.63;151.32
2;6;;;0;-8.78;-21.62;-157;8.198322999;16;8.198322999;119.0938352;-8.78;-21.62;157
2;6;;;0;-12.81;-21.2;-160.84;5.582374047;17;5.582374047;124.6762093;-12.81;-21.2;160.84
2;6;;;0;-14.72;-18.37;-163.88;4.57149866;18;4.57149866;129.2477079;-14.72;-18.37;163.88
2;6;;;0;-18.36;-15.29;-166.2;5.302678568;19;5.302678568;134.5503865;-18.36;-15.29;166.2
2;6;;;0;-22.15;-12.25;-169.32;5.774088673;20;5.774088673;140.3244752;-22.15;-12.25;169.32
2;6;;;0;-27.33;-8.66;-169.49;6.304712523;21;6.304712523;146.6291877;-27.33;-8.66;169.49
2;6;;;0;-31.3;-4.08;-172.9;6.954523708;22;6.954523708;153.5837114;-31.3;-4.08;172.9
2;6;G;0;0;-36.28;0.69;-176.13;7.614867038;23;7.614867038;161.1985784;-36.28;0.69;176.13
2;7;;;2;-13.21;0.26;-55.93;122.3946478;0;0;0;-13.21;0.26;55.93
2;7;;;2;-13.21;0.28;-55.95;0.028284271;1;0.028284271;0.028284271;-13.21;0.28;55.95
