Plant_Nb;Cane_nb;Req;Intermediate;Type;X;Y;Z;Inter;Row;L_Internode;L_Cumulated;Xabs;Yabs;Zabs
2;1;;;0;-29.49;-4.03;-51.04;59.08;0;0;0;-29.49;-4.03;51.04
2;1;;;0;-30.9;-5.42;-48.83;2.97;1;2.97;3;-30.9;-5.42;48.83
2;1;;;0;-34.9;-6.67;-49.63;4.27;2;4.27;7.2;-34.9;-6.67;49.63
2;1;;;0;-45.18;-10;-54.56;11.88;3;11.88;19.1;-45.18;-10;54.56
2;1;;;0;-53.23;-8.28;-61.17;10.56;4;10.56;29.7;-53.23;-8.28;61.17
2;1;;;0;-60.43;-7.87;-74.01;14.73;5;14.73;44.4;-60.43;-7.87;74.01
2;1;;;0;-66.41;-5.94;-88.43;15.73;6;15.73;60.1;-66.41;-5.94;88.43
2;1;;;0;-70.26;-7.36;-100.38;12.63;7;12.63;72.8;-70.26;-7.36;100.38
2;1;g;0;0;-76.92;-6.48;-110.26;11.95;8;11.95;84.7;-76.92;-6.48;110.26
2;2;;;1;-27.49;-5.28;-53.48;75.29;0;0;0;-27.49;-5.28;53.48
2;2;;;1;-27.19;-5.78;-53.1;0.7;1;0.7;0.7;-27.19;-5.78;53.1
2;2;;;1;-28.16;-8.29;-54.58;3.07;2;3.07;3.8;-28.16;-8.29;54.58
2;2;;;1;-30.52;-12.87;-57.78;6.07;3;6.07;9.8;-30.52;-12.87;57.78
2;2;;;1;-34.79;-16.66;-63.05;7.77;4;7.77;17.6;-34.79;-16.66;63.05
2;2;1;1;1;-40.27;-22.69;-68.88;10.02;5;10.02;27.6;-40.27;-22.69;68.88
2;3;;;2;-29.76;-0.63;-55.52;27.85;0;0;0;-29.76;-0.63;55.52
2;3;;;2;-29.4;-0.12;-56.2;0.92;1;0.92;0.9;-29.4;-0.12;56.2
2;3;;;2;-31.04;6.79;-65.75;11.9;2;11.9;12.8;-31.04;6.79;65.75
2;3;;;2;-28.35;-1.36;-56.85;12.36;3;12.36;25.2;-28.35;-1.36;56.85
2;3;;;2;-28.13;-1.92;-57.31;0.76;4;0.76;25.9;-28.13;-1.92;57.31
2;3;;;2;-27.84;-2.66;-59.17;2.02;5;2.02;28;-27.84;-2.66;59.17
2;3;;;2;-27.34;-3.49;-63.65;4.58;6;4.58;32.6;-27.34;-3.49;63.65
2;3;;;2;-28.82;-3.87;-69.81;6.35;7;6.35;38.9;-28.82;-3.87;69.81
2;3;;;2;-29;-5.67;-79.2;9.56;8;9.56;48.5;-29;-5.67;79.2
2;3;;;2;-34.18;-6.89;-90.17;12.19;9;12.19;60.7;-34.18;-6.89;90.17
2;3;;;2;-35.74;-10.77;-100.72;11.35;10;11.35;72;-35.74;-10.77;100.72
2;3;;;2;-44.04;-14.25;-108.51;11.9;11;11.9;83.9;-44.04;-14.25;108.51
2;3;2;2;2;-47.49;-19.61;-118.16;11.57;12;11.57;95.5;-47.49;-19.61;118.16
2;4;;;1;-9.64;-2.88;-54.03;76.32;0;0;0;-9.64;-2.88;54.03
2;4;;;1;-9.74;-2.62;-54.29;0.38;1;0.38;0.4;-9.74;-2.62;54.29
2;4;;;1;-10.56;-1.99;-56.24;2.21;2;2.21;2.6;-10.56;-1.99;56.24
2;4;;;1;-12.59;-1.18;-60.31;4.62;3;4.62;7.2;-12.59;-1.18;60.31
2;4;;;1;-17.18;-0.65;-65.92;7.27;4;7.27;14.5;-17.18;-0.65;65.92
2;4;;;1;-20.74;-0.64;-71.35;6.49;5;6.49;21;-20.74;-0.64;71.35
2;4;;;1;-27.5;-1.49;-77.86;9.42;6;9.42;30.4;-27.5;-1.49;77.86
2;4;;;1;-34.21;-3.25;-86.99;11.47;7;11.47;41.9;-34.21;-3.25;86.99
2;4;;;1;-42.16;-4.93;-92.95;10.08;8;10.08;51.9;-42.16;-4.93;92.95
2;4;;;1;-47.42;-0.94;-99.19;9.08;9;9.08;61;-47.42;-0.94;99.19
2;4;;;1;-56.02;-1.15;-107.59;12.02;10;12.02;73;-56.02;-1.15;107.59
2;4;;;1;-61.62;-2.22;-114.06;8.62;11;8.62;81.7;-61.62;-2.22;114.06
