DOY;HU;Tac;hs;Rg;PPFD;u;Pa;Ca;psi;Te_sun;Te_shade;Ti_shade
212;0;23;42.5;0;0;2;101.3;360;0.1;22.8;22.1;23.6
212;1;22.7;45.3;0;0;2;101.3;360;0.1;22.4;21.7;23.1
212;2;21.9;47.8;0;0;2;101.3;360;0.1;21.7;20.9;22.4
212;3;20.8;51.9;0;0;2;101.3;360;0.1;20.7;19.9;21.4
212;4;19.3;56.7;0;0;2;101.3;360;0.1;19.2;18.5;20
212;5;18.5;58.3;0;0;2;101.3;360;0.1;18.4;17.7;19.3
212;6;17.6;59.4;6;13;2;101.3;360;0.1;17.5;16.9;18.4
212;7;19;55.7;102;205;2;101.3;360;0.1;19;18.2;18.9
212;8;23.4;44.9;266;531;2;101.3;360;0.1;25.1;22.3;21.8
212;9;26.6;40.4;435;869;2;101.3;360;0.1;28.3;26;25.1
212;10;29.2;34.7;591;1182;2;101.3;360;0.1;30.2;28.1;27.5
212;11;29.6;33;589;1177;2;101.3;360;0.1;30.3;28.5;27.6
212;12;30.5;31.2;806;1611;2;101.3;360;0.1;31.4;28.7;28.7
212;13;32.7;28;850;1701;2;101.3;360;0.1;31.9;30.4;29.9
212;14;33.5;29.7;834;1668;2;101.3;360;0.1;32.4;31.7;30.8
212;15;32.9;30.1;787;1574;2;101.3;360;0.1;32;31.7;31
212;16;32.9;29.7;700;1400;2;101.3;360;0.1;32.6;31.1;30.8
212;17;32.3;28.2;564;1127;2;101.3;360;0.1;31.3;30.9;30.1
212;18;31.3;28.5;391;783;2;101.3;360;0.1;30.4;29.8;29.3
212;19;29.6;40.3;210;419;2;101.3;360;0.1;27.9;27.5;28.1
212;20;25.3;65.3;32;64;2;101.3;360;0.1;24.4;24;25
212;21;22.9;77.4;2;3;2;101.3;360;0.1;22.7;22.1;23.5
212;22;21.8;84.4;0;0;2;101.3;360;0.1;21.7;21.2;22.5
212;23;21.8;84.4;0;0;2;101.3;360;0.1;21.7;21.2;22.5
