Plant_Nb;Cane_nb;Req;Intermediate;Type;X;Y;Z;Inter;Row;L_Internode;L_Cumulated;Xabs;Yabs;Zabs
2;1;;;1;-41.01;16.99;-152.81;159.1269188;0;0;0;-41.01;16.99;152.81
2;1;;;1;-41.18;17.07;-152.16;0.676609193;1;0.676609193;0.676609193;-41.18;17.07;152.16
2;1;;;1;-41.35;17.97;-151.53;1.111665417;2;1.111665417;1.78827461;-41.35;17.97;151.53
2;1;;;1;-41.8;20.32;-151.72;2.400229156;3;2.400229156;4.188503766;-41.8;20.32;151.72
2;1;;;1;-44.49;23.88;-151.68;4.462207974;4;4.462207974;8.65071174;-44.49;23.88;151.68
2;1;;;1;-47.15;28.36;-152.69;5.307174389;5;5.307174389;13.95788613;-47.15;28.36;152.69
2;1;1;1;1;-51.34;36.03;-151.64;8.80269845;6;8.80269845;22.76058458;-51.34;36.03;151.64
2;2;;;0;-42.47;12.73;-154.97;25.15264996;0;0;0;-42.47;12.73;154.97
2;2;;;0;-42.24;12.05;-155.35;0.812219182;1;0.812219182;0.812219182;-42.24;12.05;155.35
2;2;;;0;-42.11;13.07;-155.95;1.190504095;2;1.190504095;2.002723277;-42.11;13.07;155.95
2;2;;;0;-42.55;15.15;-157.13;2.43154272;3;2.43154272;4.434265997;-42.55;15.15;157.13
2;2;G;0;0;-45.83;20.34;-158.76;6.352275183;4;6.352275183;10.78654118;-45.83;20.34;158.76
2;3;;;0;-39.99;27.1;-163.06;9.914292713;0;0;0;-39.99;27.1;163.06
2;3;;;0;-37.49;33.23;-163.96;6.681085241;1;6.681085241;6.681085241;-37.49;33.23;163.96
2;3;;;0;-33.49;39.92;-165.72;7.990851019;2;7.990851019;14.67193626;-33.49;39.92;165.72
2;3;;;0;-26.6;47.63;-165.06;10.36107137;3;10.36107137;25.03300763;-26.6;47.63;165.06
2;3;;;0;-20.83;51.87;-165.65;7.184608549;4;7.184608549;32.21761618;-20.83;51.87;165.65
2;3;;;0;-16.55;56.15;-162.97;6.619607239;5;6.619607239;38.83722342;-16.55;56.15;162.97
2;3;;;0;-10.7;59.38;-161.23;6.905287829;6;6.905287829;45.74251125;-10.7;59.38;161.23
2;3;;;0;-6.83;62.62;-158.58;5.700614002;7;5.700614002;51.44312525;-6.83;62.62;158.58
