DOY;jour;mois;annee;HU;Tmoy;RH;u;P;Rg
1;1;1;2007;0;2.35;100;0.3;0;4.39
1;1;1;2007;1;1.78;100;0.04;0;4.39
1;1;1;2007;2;1.63;100;0.25;0;4.39
1;1;1;2007;3;0.58;100;0.14;0;4.39
1;1;1;2007;4;0.03;100;0.08;0;4.39
1;1;1;2007;5;0.23;100;0.16;0;4.43
1;1;1;2007;6;0;100;0.13;0;4.39
1;1;1;2007;7;-0.75;100;0.19;0;8.37
1;1;1;2007;8;0.53;100;0.26;0;31.62
1;1;1;2007;9;3.58;98.75;0.37;0;71.1
1;1;1;2007;10;7.38;85.5;0.35;0;120.41
1;1;1;2007;11;11.38;72.5;0.83;0;157.42
1;1;1;2007;12;15.18;60;0.9;0;167.32
1;1;1;2007;13;19.78;36.5;1.42;0;169.59
1;1;1;2007;14;21.1;31.75;1.45;0;121.74
1;1;1;2007;15;21.45;22.75;1.94;0;78.48
1;1;1;2007;16;19.38;31.5;1.33;0;23.86
1;1;1;2007;17;12.6;62.75;0.55;0;4.51
1;1;1;2007;18;11.25;62.25;0.63;0;4.39
1;1;1;2007;19;9.68;62.5;0.75;0;4.39
1;1;1;2007;20;9;63.25;0.92;0;4.39
1;1;1;2007;21;7.68;64.75;1.17;0;4.39
1;1;1;2007;22;9.43;60.5;0.63;0;4.39
1;1;1;2007;23;7.98;66.5;0.72;0;4.39
2;2;1;2007;0;6.95;73;0.89;0;4.39
2;2;1;2007;1;7.4;70.75;0.65;0;4.39
2;2;1;2007;2;6.78;74.25;0.56;0;4.39
2;2;1;2007;3;6.4;75.75;0.61;0;4.39
2;2;1;2007;4;7.25;75;0.92;0;4.39
2;2;1;2007;5;6.18;77.25;0.66;0;4.39
2;2;1;2007;6;5.75;81;0.28;0;4.39
2;2;1;2007;7;4.68;87.25;0.23;0;6.59
2;2;1;2007;8;5.68;85;0.28;0;29.5
2;2;1;2007;9;8.13;77.75;0.52;0;55.65
2;2;1;2007;10;10.2;71.5;0.31;0;81.12
2;2;1;2007;11;11.78;62.75;0.32;0;116.19
2;2;1;2007;12;14.18;56.25;0.51;0;128.89
2;2;1;2007;13;14.65;51.5;0.25;0;95.86
2;2;1;2007;14;15;52.5;0.27;0;75.05
2;2;1;2007;15;15.03;54.5;0.15;0;58.74
2;2;1;2007;16;13.25;61;0.12;0;17.64
2;2;1;2007;17;8.9;80;0.73;0;4.47
2;2;1;2007;18;7.65;80.75;0.36;0;4.39
2;2;1;2007;19;7.13;83.5;0.51;0;4.39
2;2;1;2007;20;6.3;86;0.33;0;4.39
2;2;1;2007;21;5.75;87.75;0.55;0;4.39
2;2;1;2007;22;5.63;88.25;0.15;0;4.39
2;2;1;2007;23;5.2;89.5;0.32;0;4.39
3;3;1;2007;0;4;93.25;0.19;0;4.39
3;3;1;2007;1;3.23;95.25;0.23;0;4.39
3;3;1;2007;2;3.08;96.5;0.35;0;4.39
3;3;1;2007;3;2.58;98.25;0.12;0;4.39
3;3;1;2007;4;2.5;98.75;0.23;0;4.39
3;3;1;2007;5;1.93;99.25;0.08;0;4.43
3;3;1;2007;6;2;100;0.17;0;4.39
3;3;1;2007;7;1.38;100;0.09;0;7.94
3;3;1;2007;8;3.63;100;0.36;0;23.35
